id,score,f_total_unique_words,f_total_unq_words_stop,f_wc_diff,f_wc_ratio,f_wc_diff_unique,f_wc_ratio_unique,f_wc_diff_unique_stop,f_wc_ratio_unique_stop,f_same_start_word,f_char_diff,f_char_ratio,f_char_diff_unique_stop
10001,2.0,17,11,6,0.8636363636363636,2,1.1333333333333333,1,1.1,0,6,0.8636363636363636,1
10002,1.333,16,10,0,1.0,1,0.9333333333333333,1,0.8888888888888888,1,0,1.0,1
10003,4.0,22,14,6,1.125,1,1.0476190476190477,1,1.0769230769230769,1,6,1.125,1
10004,3.8,20,14,25,0.5454545454545454,6,0.6842105263157895,4,0.6923076923076923,0,25,0.5454545454545454,4
10005,0.0,21,14,15,1.5357142857142858,4,1.2666666666666666,4,1.4444444444444444,1,15,1.5357142857142858,4
10006,3.6,18,12,12,1.48,3,1.2,2,1.2,1,12,1.48,2
10007,4.0,22,16,22,1.6666666666666667,4,1.2352941176470589,2,1.1538461538461537,1,22,1.6666666666666667,2
10008,5.0,14,9,1,1.0344827586206897,2,0.8571428571428571,2,0.7777777777777778,0,1,1.0344827586206897,2
10009,4.8,22,14,5,0.9295774647887324,0,1.0,0,1.0,1,5,0.9295774647887324,0
10010,4.25,16,11,1,0.9545454545454546,1,1.0714285714285714,1,1.1111111111111112,0,1,0.9545454545454546,1
10011,0.2,18,11,6,0.7391304347826086,5,0.6875,4,0.6,1,6,0.7391304347826086,4
10012,3.2,17,12,3,0.8888888888888888,1,0.9375,0,1.0,0,3,0.8888888888888888,0
10013,0.2,21,14,14,1.5833333333333333,4,1.2666666666666666,2,1.2,0,14,1.5833333333333333,2
10014,2.2,19,13,18,1.6206896551724137,3,1.2142857142857142,1,1.1,0,18,1.6206896551724137,1
10015,1.0,22,15,3,1.0555555555555556,0,1.0,0,1.0,1,3,1.0555555555555556,0
10016,0.5,22,14,7,1.2333333333333334,0,1.0,3,1.3,1,7,1.2333333333333334,3
10017,4.5,22,15,4,1.0816326530612246,5,1.2941176470588236,3,1.25,1,4,1.0816326530612246,3
10018,4.4,22,15,7,0.8333333333333334,1,0.9523809523809523,1,0.9285714285714286,0,7,0.8333333333333334,1
10019,0.4,22,14,2,0.9473684210526315,3,0.8421052631578947,1,0.9090909090909091,1,2,0.9473684210526315,1
10020,2.6,21,15,5,1.119047619047619,2,1.1111111111111112,1,1.0769230769230769,0,5,1.119047619047619,1
10021,0.0,19,12,7,1.25,2,0.8823529411764706,2,0.8181818181818182,1,7,1.25,2
10022,0.4,23,15,14,1.3888888888888888,1,1.0526315789473684,1,0.9285714285714286,1,14,1.3888888888888888,1
10023,4.0,14,9,13,1.6842105263157894,1,1.0769230769230769,0,1.0,1,13,1.6842105263157894,0
10024,3.8,21,14,5,1.1282051282051282,1,1.0555555555555556,0,1.0,0,5,1.1282051282051282,0
10025,0.0,16,10,0,1.0,0,1.0,1,1.125,1,0,1.0,1
10026,1.0,20,14,19,0.5581395348837209,2,0.8888888888888888,3,0.7692307692307693,1,19,0.5581395348837209,3
10027,0.8,23,16,5,1.131578947368421,3,1.1578947368421053,3,1.25,1,5,1.131578947368421,3
10028,5.0,19,12,6,0.7931034482758621,3,0.8333333333333334,2,0.8181818181818182,0,6,0.7931034482758621,2
